Date,Adj Close,Close,High,Low,Open,Volume
2024-07-09,1.2999999853491317e-05,1.2999999853491317e-05,1.8000000636675395e-05,1.2999999853491317e-05,1.4000000192027073e-05,3005
2024-07-10,1.4000000192027073e-05,1.4000000192027073e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.2999999853491317e-05,375
2024-07-11,1.2999999853491317e-05,1.2999999853491317e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4000000192027073e-05,970
2024-07-12,1.2999999853491317e-05,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,621
2024-07-13,1.4999999621068127e-05,1.4999999621068127e-05,2.9999999242136255e-05,1.2999999853491317e-05,1.2999999853491317e-05,6990
2024-07-14,1.4999999621068127e-05,1.4999999621068127e-05,1.8000000636675395e-05,1.2999999853491317e-05,1.4999999621068127e-05,1176
2024-07-15,1.4999999621068127e-05,1.4999999621068127e-05,1.700000029813964e-05,1.4999999621068127e-05,1.4999999621068127e-05,585
2024-07-16,1.4999999621068127e-05,1.4999999621068127e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.4999999621068127e-05,1515
2024-07-17,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4999999621068127e-05,363
2024-07-18,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4999999621068127e-05,341
2024-07-19,1.5999999959603883e-05,1.5999999959603883e-05,1.8999999156221747e-05,1.2999999853491317e-05,1.4999999621068127e-05,1165
2024-07-20,1.4000000192027073e-05,1.4000000192027073e-05,1.8000000636675395e-05,1.4000000192027073e-05,1.5999999959603883e-05,891
2024-07-21,1.4999999621068127e-05,1.4999999621068127e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.4000000192027073e-05,795
2024-07-22,1.4000000192027073e-05,1.4000000192027073e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4999999621068127e-05,415
2024-07-23,2.2000000171829015e-05,2.2000000171829015e-05,2.499999936844688e-05,1.4000000192027073e-05,1.4000000192027073e-05,4480
2024-07-24,1.8999999156221747e-05,1.8999999156221747e-05,2.2000000171829015e-05,1.5999999959603883e-05,2.2000000171829015e-05,2074
2024-07-25,1.4999999621068127e-05,1.4999999621068127e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.8999999156221747e-05,814
